अ	अ |
आकाङ्क्षाणां	आ क ा ङ ् क ् ष ा ण ा ं |
आकारयति	आ क ा र य त ि |
आकारयत्	आ क ा र य त ् |
आकारितः	आ क ा र ि त ः |
आकारितम्	आ क ा र ि त म ् |
आकार्य	आ क ा र ् य |
आकाशवाण्याः	आ क ा श व ा ण ् य ा ः |
आक्रन्दनं	आ क ् र न ् द न ं |
आक्रमण	आ क ् र म ण |
आक्रमणं	आ क ् र म ण ं |
आक्रमणदायित्वम्	आ क ् र म ण द ा य ि त ् व म ् |
आक्रमणस्य	आ क ् र म ण स ् य |
आक्रमणानि	आ क ् र म ण ा न ि |
आक्रमणे	आ क ् र म ण े |
आक्रमणेषु	आ क ् र म ण े ष ु |
आक्षिपति	आ क ् ष ि प त ि |
आक्षिप्तः	आ क ् ष ि प ् त ः |
आख्या	आ ख ् य ा |
आगतम्	आ ग त म ् |
आगमनाय	आ ग म न ा य |
आगामिनि	आ ग ा म ि न ि |
आगामिमासस्य	आ ग ा म ि म ा स स ् य |
आगामिमासे	आ ग ा म ि म ा स े |
आगाम्येकमासपर्यन्तम्	आ ग ा म ् य े क म ा स प र ् य न ् त म ् |
आग्नेय	आ ग ् न े य |
आग्नेयः	आ ग ् न े य ः |
आग्नेयो	आ ग ् न े य ो |
आग्रयण	आ ग ् र य ण |
आघातरूपेण	आ घ ा त र ू प े ण |
आङ्	आ ङ ् |
आचक्ष्यते	आ च क ् ष ् य त े |
आचरणमेतस्य	आ च र ण म े त स ् य |
आचरणीयानि	आ च र ण ी य ा न ि |
आचरन्ति	आ च र न ् त ि |
आचरितानि	आ च र ि त ा न ि |
आचान्तेन	आ च ा न ् त े न |
आचार	आ च ा र |
आचारः	आ च ा र ः |
आचारसंहितायाः	आ च ा र स ं ह ि त ा य ा ः |
आचाराः	आ च ा र ा ः |
आचारात्	आ च ा र ा त ् |
आचारार्थेन	आ च ा र ा र ् थ े न |
आचारो	आ च ा र ो |
आच्छिन्न्म्	आ च ् छ ि न ् न ् म ् |
आच्छेत्ता	आ च ् छ े त ् त ा |
आच्छेदन	आ च ् छ े द न |
आज्यस्य	आ ज ् य स ् य |
आज्यहविषा	आ ज ् य ह व ि ष ा |
आड्वाणीं	आ ड ् व ा ण ी ं |
आतंकवादि	आ त ं क व ा द ि |
आतंकवादिनं	आ त ं क व ा द ि न ं |
आतंकवादिनः	आ त ं क व ा द ि न ः |
आतंकवादिनो	आ त ं क व ा द ि न ो |
आतंकवादिनौ	आ त ं क व ा द ि न ौ |
आतंकवादिभिः	आ त ं क व ा द ि भ ि ः |
आतंकवादी	आ त ं क व ा द ी |
आतंकवादीसंघटनस्य	आ त ं क व ा द ी स ं घ ट न स ् य |
आतङ्कवादिनां	आ त ङ ् क व ा द ि न ा ं |
आतङ्कवादिभिः	आ त ङ ् क व ा द ि भ ि ः |
आतङ्कवाद्याक्रमणेन	आ त ङ ् क व ा द ् य ा क ् र म ण े न |
आतङ्कसमर्थनार्थं	आ त ङ ् क स म र ् थ न ा र ् थ ं |
आततायिभिः	आ त त ा य ि भ ि ः |
आततिमयी	आ त त ि म य ी |
आततिमयीं	आ त त ि म य ी ं |
आतपशुष्काणि	आ त प श ु ष ् क ा ण ि |
आतिथेयं	आ त ि थ े य ं |
आतिथ्यादीनि	आ त ि थ ् य ा द ी न ि |
आत्म	आ त ् म |
आत्मगुणः	आ त ् म ग ु ण ः |
आत्मघातमालक्ष्य	आ त ् म घ ा त म ा ल क ् ष ् य |
आत्मघात्याक्रमणकारिभिः	आ त ् म घ ा त ् य ा क ् र म ण क ा र ि भ ि ः |
आत्मघात्याक्रमणम्	आ त ् म घ ा त ् य ा क ् र म ण म ् |
आत्मज्ञानञ्च	आ त ् म ज ् ञ ा न ञ ् च |
आत्मज्ञानस्य	आ त ् म ज ् ञ ा न स ् य |
आत्मनः	आ त ् म न ः |
आत्मप्रतिपादनेनैव	आ त ् म प ् र त ि प ा द न े न ै व |
आदत्ताः	आ द त ् त ा ः |
आदमी	आ द म ी |
आदरणीयत्वात्	आ द र ण ी य त ् व ा त ् |
आदरोपि	आ द र ो प ि |
आदर्श	आ द र ् श |
आदशी	आ द श ी |
आदित्याज्जायते	आ द ि त ् य ा ज ् ज ा य त े |
आदिशत्	आ द ि श त ् |
आदिष्टमस्ति	आ द ि ष ् ट म स ् त ि |
आदिष्टम्	आ द ि ष ् ट म ् |
आदृत्य	आ द ृ त ् य |
आदेशः	आ द े श ः |
आदौ	आ द ौ |
आद्मी	आ द ् म ी |
आद्यं	आ द ् य ं |
आद्यकाण्ड	आ द ् य क ा ण ् ड |
आद्यम्	आ द ् य म ् |
आद्यस्य	आ द ् य स ् य |
आद्या	आ द ् य ा |
आद्यां	आ द ् य ा ं |
आद्येन	आ द ् य े न |
आधातुं	आ ध ा त ु ं |
आधार	आ ध ा र |
आधारशिविराद्	आ ध ा र श ि व ि र ा द ् |
आधिकारिभिः	आ ध ि क ा र ि भ ि ः |
आधु	आ ध ु |
आध्यक्षयुतया	आ ध ् य क ् ष य ु त य ा |
आध्यक्षयुतेन	आ ध ् य क ् ष य ु त े न |
आध्यक्ष्यं	आ ध ् य क ् ष ् य ं |
आनन्तर्यं	आ न न ् त र ् य ं |
आनन्दीबेनपटेलः	आ न न ् द ी ब े न प ट े ल ः |
आनयनम्	आ न य न म ् |
आनुकूल्यम्	आ न ु क ू ल ् य म ् |
आनैकेभ्यो	आ न ै क े भ ् य ो |
आन्तःसेवासार्वजनिक	आ न ् त ः स े व ा स ा र ् व ज न ि क |
आन्ध्रप्रदेश	आ न ् ध ् र प ् र द े श |
आन्ध्रप्रदेशराज्यपालेन	आ न ् ध ् र प ् र द े श र ा ज ् य प ा ल े न |
आन्ध्रप्रदेशस्य	आ न ् ध ् र प ् र द े श स ् य |
आन्ध्रप्रदेशात्	आ न ् ध ् र प ् र द े श ा त ् |
आन्ध्रप्रदेशारुणाचलप्रदेशविधानसभानां	आ न ् ध ् र प ् र द े श ा र ु ण ा च ल प ् र द े श व ि ध ा न स भ ा न ा ं |
आन्ध्रप्रदेशे	आ न ् ध ् र प ् र द े श े |
आन्ध्रप्रेदश	आ न ् ध ् र प ् र े द श |
आन्ध्रप्रेदशतेलंगानाराज्ययोः	आ न ् ध ् र प ् र े द श त े ल ं ग ा न ा र ा ज ् य य ो ः |
आपञ्चम्याः	आ प ञ ् च म ् य ा ः |
आपणानुसारि	आ प ण ा न ु स ा र ि |
आपत्	आ प त ् |
आपत्योजनानां	आ प त ् य ो ज न ा न ा ं |
आपस्तंब	आ प स ् त ं ब |
आपस्तंबः	आ प स ् त ं ब ः |
आपस्तंबधर्मसूत्रस्य	आ प स ् त ं ब ध र ् म स ू त ् र स ् य |
आपस्तंबप्रणीतं	आ प स ् त ं ब प ् र ण ी त ं |
आपस्तंबमतेन	आ प स ् त ं ब म त े न |
आपस्तंबसूत्रं	आ प स ् त ं ब स ू त ् र ं |
आपस्तंबसूत्रमेव	आ प स ् त ं ब स ू त ् र म े व |
